DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_TIME,DEP_DELAY,CANCELLED,DIVERTED,DISTANCE
23,3,AA,OKC,1841.0,1.0,0.0,0.0,175.0
5,6,WN,TUS,742.0,2.0,0.0,0.0,1440.0
25,5,MQ,DFW,1530.0,0.0,0.0,0.0,772.0
7,1,EV,OMA,1618.0,-12.0,0.0,0.0,538.0
1,2,WN,MDW,1701.0,6.0,0.0,0.0,1521.0
11,5,US,PHX,954.0,-5.0,0.0,0.0,1849.0
4,5,UA,LAX,813.0,4.0,0.0,0.0,1745.0
15,2,DL,ATL,728.0,-2.0,0.0,0.0,447.0
13,7,DL,DTW,836.0,-4.0,0.0,0.0,926.0
25,5,OO,LAX,2015.0,20.0,0.0,0.0,337.0
7,1,OO,SBN,701.0,-4.0,0.0,0.0,411.0
22,2,WN,BUR,1640.0,0.0,0.0,0.0,223.0
30,3,AS,LIH,1502.0,-13.0,0.0,0.0,2466.0
28,1,XE,CLE,849.0,-4.0,0.0,0.0,315.0
18,5,WN,RNO,2052.0,27.0,0.0,0.0,444.0
13,7,OO,SMF,927.0,-4.0,0.0,0.0,373.0
29,2,DL,CVG,905.0,-5.0,0.0,0.0,1678.0
21,1,DL,DTW,836.0,1.0,0.0,0.0,2079.0
19,6,AS,SEA,1202.0,-3.0,0.0,0.0,697.0
28,1,XE,PBI,1133.0,-7.0,0.0,0.0,956.0
9,3,UA,ORD,1931.0,56.0,0.0,0.0,1745.0
22,2,WN,MDW,833.0,-2.0,0.0,0.0,1440.0
9,3,WN,SNA,1526.0,-4.0,0.0,0.0,342.0
21,1,MQ,LAX,804.0,29.0,0.0,0.0,451.0
11,5,MQ,DCA,1323.0,-7.0,0.0,0.0,562.0
2,3,AA,SNA,1308.0,-2.0,0.0,0.0,1205.0
27,7,DL,DEN,1046.0,-5.0,0.0,0.0,1626.0
15,2,B6,RIC,1135.0,-10.0,0.0,0.0,805.0
27,7,EV,ATL,2043.0,73.0,0.0,0.0,551.0
7,1,US,CLT,1827.0,18.0,0.0,0.0,599.0
26,6,AS,PDX,1749.0,-6.0,0.0,0.0,1542.0
14,1,AA,ORD,2037.0,22.0,0.0,0.0,1846.0
18,5,FL,BWI,1954.0,-4.0,0.0,0.0,919.0
26,6,YV,PHX,1608.0,-6.0,0.0,0.0,110.0
12,6,F9,DEN,1637.0,7.0,0.0,0.0,628.0
24,4,UA,IAD,830.0,-5.0,0.0,0.0,811.0
11,5,WN,AUS,601.0,1.0,0.0,0.0,972.0
4,5,XE,AUS,1214.0,-1.0,0.0,0.0,140.0
10,4,OO,SLC,828.0,-4.0,0.0,0.0,599.0
13,7,DL,ATL,2037.0,-4.0,0.0,0.0,794.0
21,1,EV,BTR,1707.0,2.0,0.0,0.0,448.0
14,1,AA,RSW,1554.0,34.0,0.0,0.0,1120.0
19,6,CO,RDU,610.0,10.0,0.0,0.0,1042.0
23,3,XE,DFW,637.0,-8.0,0.0,0.0,1021.0
16,3,CO,IAH,1902.0,-3.0,0.0,0.0,1597.0
15,2,MQ,ORD,859.0,-6.0,0.0,0.0,693.0
5,6,WN,MSP,834.0,-1.0,0.0,0.0,349.0
26,6,OO,SFO,1007.0,43.0,0.0,0.0,462.0
9,3,AA,DFW,1157.0,-3.0,0.0,0.0,550.0
9,3,F9,DEN,811.0,-9.0,0.0,0.0,895.0
27,7,DL,ATL,835.0,20.0,0.0,0.0,1747.0
1,2,WN,BHM,1531.0,-4.0,0.0,0.0,479.0
27,7,OO,MSP,2141.0,0.0,0.0,0.0,1142.0
11,5,OO,BUR,1709.0,0.0,0.0,0.0,850.0
22,2,WN,ELP,1003.0,3.0,0.0,0.0,562.0
9,3,US,LAX,1609.0,-6.0,0.0,0.0,370.0
21,1,FL,FLL,1134.0,6.0,0.0,0.0,1243.0
26,6,DL,SRQ,1642.0,-3.0,0.0,0.0,444.0
21,1,OO,LAX,1545.0,15.0,0.0,0.0,236.0
22,2,FL,HOU,1724.0,-1.0,0.0,0.0,696.0
17,4,AS,JNU,1253.0,-7.0,0.0,0.0,571.0
21,1,DL,LAX,2257.0,-3.0,0.0,0.0,1979.0
2,3,DL,DFW,1041.0,-4.0,0.0,0.0,731.0
13,7,MQ,ORD,835.0,-5.0,0.0,0.0,528.0
29,2,B6,MCO,2255.0,70.0,0.0,0.0,1121.0
13,7,EV,AGS,1322.0,-3.0,0.0,0.0,143.0
1,2,WN,HOU,1656.0,1.0,0.0,0.0,571.0
21,1,WN,BWI,908.0,3.0,0.0,0.0,998.0
15,2,DL,SJU,1335.0,40.0,0.0,0.0,1547.0
7,1,OO,OTH,2034.0,0.0,0.0,0.0,171.0
12,6,CO,EWR,1159.0,-1.0,0.0,0.0,997.0
11,5,DL,ATL,1856.0,-9.0,0.0,0.0,594.0
14,1,OO,GTF,1344.0,41.0,0.0,0.0,463.0
10,4,AS,PHX,1756.0,-14.0,0.0,0.0,1009.0
8,2,WN,SMF,1658.0,-2.0,0.0,0.0,479.0
24,4,WN,SEA,607.0,7.0,0.0,0.0,1024.0
12,6,DL,MSP,850.0,-10.0,0.0,0.0,1299.0
29,2,AS,JNU,713.0,-2.0,0.0,0.0,234.0
9,3,WN,BDL,1723.0,-2.0,0.0,0.0,283.0
2,3,WN,PHX,1119.0,-1.0,0.0,0.0,1020.0
29,2,XE,CLE,844.0,-6.0,0.0,0.0,304.0
6,7,XE,IAD,1717.0,6.0,0.0,0.0,239.0
20,7,FL,MCO,1119.0,-5.0,0.0,0.0,1189.0
24,4,XE,IAH,1113.0,-7.0,0.0,0.0,771.0
29,2,AS,SEA,1823.0,-2.0,0.0,0.0,954.0
24,4,OO,SFO,1041.0,-4.0,0.0,0.0,451.0
23,3,F9,DEN,1202.0,-8.0,0.0,0.0,1024.0
6,7,WN,PHX,2059.0,-1.0,0.0,0.0,651.0
25,5,HA,HNL,1152.0,-10.0,0.0,0.0,102.0
13,7,MQ,ILM,1716.0,36.0,0.0,0.0,761.0
30,3,US,PHX,1058.0,-7.0,0.0,0.0,507.0
12,6,OO,SFO,1938.0,-7.0,0.0,0.0,462.0
5,6,HA,HNL,1536.0,0.0,0.0,0.0,102.0
27,7,US,ORD,1406.0,-4.0,0.0,0.0,1440.0
10,4,DL,ATL,816.0,-4.0,0.0,0.0,606.0
1,2,WN,SAN,1349.0,4.0,0.0,0.0,258.0
29,2,DL,ATL,2205.0,10.0,0.0,0.0,1590.0
11,5,AA,MIA,2140.0,25.0,0.0,0.0,2342.0
23,3,US,DEN,1523.0,38.0,0.0,0.0,602.0
21,1,DL,ATL,1924.0,-1.0,0.0,0.0,270.0
5,6,B6,BOS,1259.0,4.0,0.0,0.0,1249.0
30,3,XE,IAH,2119.0,-6.0,0.0,0.0,253.0
26,6,FL,MCO,734.0,-6.0,0.0,0.0,1066.0
3,4,UA,TPA,1839.0,-6.0,0.0,0.0,811.0
20,7,FL,MDW,1025.0,3.0,0.0,0.0,1105.0
13,7,WN,BOI,1718.0,23.0,0.0,0.0,649.0
26,6,WN,DEN,1947.0,52.0,0.0,0.0,602.0
28,1,UA,DEN,1825.0,-5.0,0.0,0.0,649.0
30,3,US,DCA,958.0,-2.0,0.0,0.0,214.0
11,5,AS,FAI,1708.0,8.0,0.0,0.0,1533.0
23,3,CO,SAT,924.0,-6.0,0.0,0.0,191.0
20,7,UA,MCO,1038.0,-1.0,0.0,0.0,1546.0
9,3,MQ,DTW,1440.0,0.0,0.0,0.0,235.0
9,3,YV,MEM,923.0,-12.0,0.0,0.0,511.0
26,6,WN,ONT,1236.0,1.0,0.0,0.0,1706.0
17,4,US,PHL,921.0,-9.0,0.0,0.0,364.0
20,7,OO,DEN,2143.0,4.0,0.0,0.0,196.0
8,2,WN,PBI,1835.0,5.0,0.0,0.0,883.0
15,2,YV,IAD,2207.0,-7.0,0.0,0.0,224.0
19,6,OO,ORD,1616.0,-1.0,0.0,0.0,67.0
21,1,UA,BDL,541.0,-4.0,0.0,0.0,326.0
27,7,XE,ORD,1818.0,37.0,0.0,0.0,224.0
3,4,DL,DTW,956.0,-5.0,0.0,0.0,409.0
4,5,DL,DTW,857.0,-3.0,0.0,0.0,2079.0
20,7,DL,DTW,1001.0,-4.0,0.0,0.0,509.0
14,1,OO,LAX,1503.0,13.0,0.0,0.0,337.0
16,3,XE,ORD,1254.0,-6.0,0.0,0.0,84.0
27,7,XE,PIT,1129.0,-1.0,0.0,0.0,1117.0
25,5,US,SLC,2006.0,-9.0,0.0,0.0,507.0
23,3,MQ,HOU,1930.0,-5.0,0.0,0.0,247.0
30,3,OO,CVG,1643.0,8.0,0.0,0.0,871.0
12,6,UA,ORD,1919.0,-3.0,0.0,0.0,646.0
7,1,WN,IND,1814.0,-1.0,0.0,0.0,162.0
19,6,WN,MCO,804.0,-1.0,0.0,0.0,177.0
24,4,B6,LGB,1930.0,-10.0,0.0,0.0,588.0
19,6,DL,JFK,1753.0,-2.0,0.0,0.0,2248.0
4,5,XE,ORD,1818.0,-2.0,0.0,0.0,475.0
29,2,YV,PHX,2103.0,-2.0,0.0,0.0,493.0
5,6,B6,BDL,815.0,0.0,0.0,0.0,1173.0
2,3,XE,EWR,937.0,0.0,0.0,0.0,628.0
25,5,WN,AUS,1442.0,-3.0,0.0,0.0,994.0
4,5,WN,PHX,1644.0,-1.0,0.0,0.0,647.0
25,5,AA,SAN,1057.0,-3.0,0.0,0.0,1171.0
10,4,US,PHL,1754.0,-1.0,0.0,0.0,742.0
9,3,MQ,ORD,1103.0,-2.0,0.0,0.0,622.0
7,1,MQ,BNA,1024.0,-6.0,0.0,0.0,409.0
15,2,DL,SNA,643.0,-2.0,0.0,0.0,1522.0
11,5,WN,LAX,2103.0,-2.0,0.0,0.0,373.0
1,2,OO,BFL,1203.0,-7.0,0.0,0.0,1428.0
1,2,OO,IAH,1652.0,-13.0,0.0,0.0,1195.0
15,2,WN,SFO,1942.0,-3.0,0.0,0.0,337.0
11,5,XE,MSN,1349.0,1.0,0.0,0.0,826.0
24,4,UA,IAD,2156.0,-3.0,0.0,0.0,758.0
18,5,DL,LGA,557.0,-3.0,0.0,0.0,762.0
7,1,WN,JAX,1053.0,3.0,0.0,0.0,663.0
5,6,US,CLT,1614.0,-6.0,0.0,0.0,912.0
18,5,B6,LAS,1521.0,9.0,0.0,0.0,231.0
28,1,FL,ATL,1332.0,-4.0,0.0,0.0,356.0
3,4,WN,OAK,1306.0,36.0,0.0,0.0,446.0
16,3,FL,PWM,613.0,8.0,0.0,0.0,452.0
17,4,YV,KOA,1800.0,-10.0,0.0,0.0,163.0
14,1,YV,TUS,650.0,-9.0,0.0,0.0,110.0
27,7,CO,IAH,1038.0,-2.0,0.0,0.0,854.0
19,6,WN,BWI,1147.0,-3.0,0.0,0.0,327.0
30,3,MQ,MIA,1128.0,-7.0,0.0,0.0,802.0
28,1,OO,LAX,1249.0,-4.0,0.0,0.0,677.0
8,2,AS,ONT,616.0,-14.0,0.0,0.0,956.0
29,2,WN,MDW,2131.0,46.0,0.0,0.0,838.0
4,5,DL,DTW,1746.0,2.0,0.0,0.0,1979.0
30,3,WN,AUS,1642.0,7.0,0.0,0.0,972.0
25,5,FL,FNT,554.0,-6.0,0.0,0.0,645.0
7,1,DL,MSY,1112.0,-3.0,0.0,0.0,425.0
3,4,DL,ATL,1921.0,-5.0,0.0,0.0,1184.0
10,4,MQ,LAX,1639.0,-1.0,0.0,0.0,89.0
26,6,UA,ORD,1922.0,27.0,0.0,0.0,783.0
26,6,EV,MCO,1825.0,37.0,0.0,0.0,192.0
10,4,AA,ONT,747.0,-8.0,0.0,0.0,1188.0
22,2,WN,PBI,2005.0,35.0,0.0,0.0,1052.0
21,1,B6,LGB,2117.0,47.0,0.0,0.0,353.0
6,7,OO,LAX,821.0,6.0,0.0,0.0,236.0
14,1,AA,DFW,2005.0,30.0,0.0,0.0,1102.0
22,2,DL,ATL,1350.0,10.0,0.0,0.0,594.0
25,5,B6,JFK,855.0,-5.0,0.0,0.0,266.0
2,3,WN,DAL,1222.0,2.0,0.0,0.0,546.0
18,5,WN,HOU,715.0,15.0,0.0,0.0,239.0
4,5,WN,HOU,2047.0,7.0,0.0,0.0,781.0
10,4,HA,SJC,923.0,-12.0,0.0,0.0,2417.0
24,4,CO,EWR,1534.0,54.0,0.0,0.0,1605.0
8,2,WN,BNA,1915.0,10.0,0.0,0.0,612.0
26,6,HA,LIH,830.0,-2.0,0.0,0.0,102.0
7,1,YV,KOA,1615.0,0.0,0.0,0.0,163.0
20,7,US,PHX,1837.0,47.0,0.0,0.0,651.0
18,5,US,RDU,1612.0,37.0,0.0,0.0,337.0
6,7,YV,ALB,1937.0,-7.0,0.0,0.0,325.0
22,2,UA,DEN,1925.0,-4.0,0.0,0.0,836.0
17,4,MQ,ORD,2155.0,0.0,0.0,0.0,299.0
7,1,CO,IAH,1323.0,8.0,0.0,0.0,1635.0
8,2,US,MSP,1159.0,0.0,0.0,0.0,930.0
11,5,WN,BWI,1120.0,0.0,0.0,0.0,925.0
19,6,AS,ANC,817.0,47.0,0.0,0.0,1448.0
7,1,DL,MSP,905.0,-5.0,0.0,0.0,1399.0
21,1,DL,LAX,2312.0,-3.0,0.0,0.0,1900.0
29,2,WN,SAN,1244.0,-1.0,0.0,0.0,304.0
14,1,WN,MCO,2015.0,-5.0,0.0,0.0,1050.0
12,6,EV,MEM,1639.0,-10.0,0.0,0.0,354.0
10,4,DL,DTW,2155.0,5.0,0.0,0.0,1979.0
6,7,WN,ISP,954.0,9.0,0.0,0.0,1052.0
24,4,WN,BNA,1231.0,1.0,0.0,0.0,670.0
14,1,WN,LAX,1936.0,16.0,0.0,0.0,337.0
18,5,WN,LAS,1933.0,3.0,0.0,0.0,258.0
10,4,MQ,ORD,834.0,-6.0,0.0,0.0,528.0
16,3,EV,ATL,947.0,42.0,0.0,0.0,707.0
29,2,FL,ATL,2104.0,-6.0,0.0,0.0,528.0
19,6,AA,MIA,1500.0,20.0,0.0,0.0,1013.0
17,4,WN,LAS,1307.0,7.0,0.0,0.0,1139.0
11,5,OO,SLC,1720.0,-10.0,0.0,0.0,391.0
29,2,WN,ABQ,906.0,1.0,0.0,0.0,328.0
